,7 RLE,8 lag1,cluster,Watershed_ID,Source,Name,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Drainage_Area_GSIM_km2,Flag_GSIM_boundaries,Flag_Artificial_Boundaries,Elevation_m,Slope_deg,Gravelius,Perimeter,Flag_Shape_Extraction,Aspect_deg,Flag_Terrain_Extraction,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Flag_Land_Use_Extraction,Permeability_logk_m2,Porosity_frac,Flag_Subsoil_Extraction
01078000,3.53368780255535,3.63177525593207,1,2468,USGS,"SMITH RIVER NEAR BRISTOL, NH",43.56646307,-71.747857,222.2199,,0,0,367.3,6.6013,1.612,85.581,1,158.0962,1,0.851,0.0095,0.0546,0.0055,0.0302,0.0188,0.0304,0.0,1,-14.1074328100359,0.0112162159781,1
01118300,3.30440314445404,3.18625891761712,1,2568,USGS,"PENDELTON HILL BROOK NEAR CLARKS FALLS, CT",41.4748222,-71.8342361,10.4117,,0,0,114.4,3.0575,1.2113,13.912,1,128.3512,1,0.7497,0.0,0.1104,0.0,0.0467,0.0522,0.041,0.0,1,-14.1000003814697,0.009999999776483,1
01121000,3.27148638996905,3.09213554479803,1,2581,USGS,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",41.8437089,-72.1689662,74.0733,,0,0,205.7,3.6723,1.4666,43.034,1,145.6858,1,0.7235,0.0012,0.1248,0.0171,0.0764,0.0026,0.0545,0.0,1,-14.1000003814697,0.009999999776483,1
01123000,3.37778501894017,3.33705348050996,1,2583,USGS,"LITTLE RIVER NEAR HANOVER, CT",41.6717651,-72.05229807,77.6993,,0,0,159.2,3.1248,1.5934,50.281,1,188.6353,1,0.6758,0.0019,0.1676,0.0036,0.0628,0.0076,0.0806,0.0,1,-14.1000003814697,0.009999999776483,1
01134500,4.08285056741528,3.91683199746052,0,2599,USGS,"MOOSE RIVER AT VICTORY, VT",44.5117231,-71.8373143,194.7661,,0,0,543.5,7.0956,1.4186,70.549,1,195.6642,1,0.8717,0.0024,0.0712,0.0008,0.0079,0.0451,0.0008,0.0,1,-14.1436367381703,0.011999999731779,1
01137500,3.9727005793191,3.74256011427664,0,2603,USGS,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",44.2686741,-71.6303617,226.8818,,0,0,757.3,10.7563,1.428,76.826,1,273.8635,1,0.8998,0.0227,0.0133,0.0001,0.0406,0.0235,0.0,0.0,1,-14.1000003814697,0.009999999776483,1
01139800,4.2152831126576,4.11514302498983,0,2606,USGS,"EAST ORANGE BRANCH AT EAST ORANGE, VT",44.0928419,-72.33565327,23.1803,,0,0,560.4,10.3315,1.1454,19.383,1,94.4681,1,0.938,0.0,0.008,0.0,0.0252,0.0109,0.0179,0.0,1,-11.8000001907349,0.059999998658895,1
01142500,3.3364852952961,3.21147527846783,1,2614,USGS,"AYERS BROOK AT RANDOLPH, VT",43.93450969,-72.6578821,78.9942,,0,0,409.1,8.3783,1.2317,39.073,1,126.7991,1,0.711,0.0039,0.0199,0.0,0.0688,0.0151,0.1812,0.0,1,-12.6254547465931,0.05827272597023,1
01144000,3.47591460995159,3.50892786286803,1,2615,USGS,"WHITE RIVER AT WEST HARTFORD, VT",43.71423614,-72.418149,1787.0829,,0,0,452.3,10.0162,1.4573,219.011,1,113.8648,1,0.8339,0.004,0.0116,0.0026,0.0445,0.0167,0.0867,0.0,1,-13.3653530108978,0.02785477116163,1
01162500,3.48956432029204,3.57019284183795,1,2629,USGS,"PRIEST BROOK NEAR WINCHENDON, MA",42.6825859,-72.1150812,50.2455,,0,0,341.0,3.1706,1.7022,42.857,1,127.6397,1,0.7474,0.0037,0.1537,0.0108,0.0454,0.0158,0.0233,0.0,1,-14.1000003814697,0.009999999776483,1
01169000,3.25688437425601,3.06102690262678,1,2633,USGS,"NORTH RIVER AT SHATTUCKVILLE, MA",42.63841775,-72.7250922,230.5078,,0,0,440.0,6.9275,1.291,70.136,1,100.2906,1,0.8382,0.0012,0.0275,0.0016,0.0443,0.0066,0.0805,0.0,1,-14.2674345562333,0.020230262705713,1
01170100,3.41324786324786,3.48247863247863,1,2635,USGS,"GREEN RIVER NEAR COLRAIN, MA",42.70341695,-72.67064738,107.225,,0,0,421.7,7.6779,1.5067,55.525,1,111.8623,1,0.9023,0.0001,0.0195,0.0043,0.0321,0.0019,0.0399,0.0,1,-13.7472224897808,0.041319443520883,1
01181000,2.97087532735497,2.57979525434489,1,2651,USGS,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",42.23731169,-72.895654,243.4577,,0,0,443.3,6.3938,1.556,86.82,1,89.3047,1,0.861,0.0007,0.0496,0.0145,0.0494,0.0063,0.0185,0.0,1,-14.0931253790855,0.010656249761814,1
01187300,2.21590497282062,2.21654922488424,2,2660,USGS,"HUBBARD RIVER NEAR WEST HARTLAND, CT",42.0375,-72.93932778,51.5405,,0,0,399.2,4.1813,1.3992,36.484,1,107.4101,1,0.8556,0.002,0.0794,0.0222,0.0291,0.0028,0.0088,0.0,1,-14.9056337652072,0.141830984109514,1
01195100,3.13115237253168,2.87474211612143,1,2688,USGS,"INDIAN RIVER NEAR CLINTON, CT",41.3061722,-72.5310333,14.7111,,0,0,73.1,2.3409,1.5183,21.005,1,143.6887,1,0.7432,0.0042,0.0659,0.0012,0.143,0.0176,0.0248,0.0,1,-14.1000003814697,0.009999999776483,1
01333000,3.86762955321006,3.57368462820411,0,2776,USGS,"GREEN RIVER AT WILLIAMSTOWN, MA",42.7089695,-73.1967729,110.3329,,0,0,482.7,11.646,1.3429,50.475,1,331.1719,1,0.7996,0.0055,0.0171,0.0,0.0586,0.0023,0.1168,0.0,1,-13.248979899348,0.031564625372895,1
01350000,2.82866439171494,2.37822395048012,1,2791,USGS,SCHOHARIE CREEK AT PRATTSVILLE NY,42.31944444,-74.4366667,613.8241,,0,0,657.1,10.1463,1.2825,113.542,1,183.5152,1,0.8791,0.007,0.0227,0.0032,0.0408,0.0027,0.0446,0.0,1,-15.1982799091855,0.189766582385328,1
01350080,3.06031210459722,2.75259384226065,1,2793,USGS,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,42.37694444,-74.4130556,83.9152,,0,0,596.4,6.995,1.2038,39.361,1,233.6537,1,0.8269,0.0071,0.034,0.0014,0.0301,0.0025,0.098,0.0,1,-15.3756755107158,0.180540538116081,1
01350140,3.38048477315103,3.27607209446861,1,2795,USGS,MINE KILL NEAR NORTH BLENHEIM NY,42.42888889,-74.4730556,41.9576,,0,0,578.7,6.8984,1.3947,32.957,1,97.9562,1,0.8129,0.0124,0.0298,0.0083,0.0409,0.0029,0.0929,0.0,1,-15.6105261852867,0.167894734363807,1
01365000,3.24971231300345,3.03670489266299,1,2820,USGS,RONDOUT CREEK NEAR LOWES CORNERS NY,41.86638889,-74.4872222,99.1961,,0,0,640.0,13.0197,1.3071,46.747,1,173.6977,1,0.9819,0.0,0.0035,0.0001,0.0054,0.0009,0.0082,0.0,1,-15.1999998092651,0.189999997615814,1
01411300,3.29146429967063,3.21732819739854,1,2958,USGS,Tuckahoe River at Head of River NJ,39.30694444,-74.8205556,79.7712,,0,0,21.8,0.4009,1.732,55.612,1,124.7566,1,0.5174,0.0431,0.3048,0.0009,0.0713,0.0342,0.0284,0.0,1,-13.0,0.219999998807907,1
01413500,2.91786366161416,2.54043329894453,1,2967,USGS,EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY,42.1447222,-74.6536111,422.166,,0,0,672.3,11.3184,1.4577,107.375,1,169.7648,1,0.8685,0.0044,0.0103,0.001,0.0336,0.0018,0.0804,0.0,1,-15.1999998092651,0.189999997615814,1
01414500,3.20514244901198,2.99150861042774,1,2969,USGS,MILL BROOK NEAR DUNRAVEN NY,42.1061111,-74.7305556,65.2674,,0,0,726.4,12.7002,1.3155,37.828,1,279.5794,1,0.9356,0.0094,0.0048,0.0,0.0097,0.0,0.0406,0.0,1,-15.1999998092651,0.189999997615814,1
01415000,3.0949924609158,2.84104436155861,1,2970,USGS,TREMPER KILL NEAR ANDES NY,42.12,-74.8186111,85.9872,,0,0,616.4,10.3265,1.3034,43.062,1,187.8529,1,0.7789,0.0052,0.0129,0.0028,0.0238,0.0011,0.1755,0.0,1,-15.1999998092651,0.189999997615814,1
01423000,3.23286132616631,3.06277829034458,1,2988,USGS,WEST BRANCH DELAWARE RIVER AT WALTON NY,42.1661111,-75.14,859.8718,,0,0,596.5,9.0588,1.6523,173.361,1,188.1153,1,0.6607,0.0083,0.0137,0.0021,0.0391,0.0035,0.2726,0.0,1,-15.1999998092651,0.189999997615814,1
01434025,3.27303517820029,3.07597567546763,1,3013,USGS,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,41.9960833,-74.5002222,9.6347,,0,0,880.3,13.3388,1.2023,13.294,1,172.6373,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-15.1999998092651,0.189999997615814,1
01435000,3.30924738166761,3.17382479499878,1,3018,USGS,NEVERSINK RIVER NEAR CLARYVILLE NY,41.89,-74.59,172.4924,,0,0,777.5,10.8921,1.3524,63.534,1,180.731,1,0.9818,0.0004,0.0069,0.0009,0.0059,0.0018,0.0024,0.0,1,-15.1999998092651,0.189999997615814,1
01439500,2.40647567653361,2.407110546782,2,3019,USGS,"Bush Kill at Shoemakers, PA",41.08815078,-75.03767469,303.0271,,0,0,393.0,3.4466,1.5453,96.526,1,144.6753,1,0.787,0.0039,0.1078,0.0219,0.0523,0.0268,0.0004,0.0,1,-15.2586292639602,0.18634517536248,1
01440000,2.9407189905563,2.58265217046266,1,3022,USGS,Flat Brook near Flatbrookville NJ,41.1061111,-74.9525,165.7584,,0,0,282.1,5.3106,1.7081,79.587,1,269.0084,1,0.7713,0.0007,0.1228,0.0069,0.0332,0.0013,0.0638,0.0,1,-14.1339365713197,0.183619910117862,1
01440400,3.04666547470052,2.73198641158591,1,3024,USGS,"Brodhead Creek near Analomink, PA",41.0848148,-75.2146251,170.6794,,0,0,429.4,4.2394,1.4736,70.588,1,125.4665,1,0.8165,0.003,0.077,0.0123,0.0594,0.0227,0.0091,0.0,1,-14.9545452811501,0.197272726080634,1
01451800,3.93646194443007,3.62270398923785,0,3045,USGS,"Jordan Creek near Schnecksville, PA",40.66176219,-75.626854,137.2687,,0,0,208.6,3.8409,1.4997,62.848,1,126.1803,1,0.2861,0.0006,0.0019,0.0016,0.1152,0.001,0.5937,0.0,1,-16.2177142442976,0.135199997382505,1
01466500,3.07909201527294,2.80048672009399,1,13200,USGS,McDonalds Branch in Byrne State Forest NJ,39.885,-74.50527778,6.0864,,0,1,45.7,0.4854,,,0,287.7918,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,,,0
01484100,2.85523465703971,2.33393501805054,1,13209,USGS,"BEAVERDAM BRANCH AT HOUSTON, DE",38.90577778,-75.51275,7.8217,,0,1,15.9,0.428,,,0,62.5968,1,0.0,0.0,0.0,0.0,0.5263,0.0,0.4737,0.0,1,,,0
01485500,3.02356955797159,2.69788112054599,1,3185,USGS,"NASSAWANGO CREEK NEAR SNOW HILL, MD",38.22891667,-75.4714444,116.2899,,0,0,17.6,0.6608,1.2591,50.01,1,156.583,1,0.1528,0.0141,0.5368,0.0001,0.0453,0.0696,0.1812,0.0,1,-10.8999996185303,0.280000001192093,1
01486000,3.14038950042337,2.79153259949196,1,3186,USGS,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD",38.21388889,-75.67138889,12.4319,,0,0,11.4,0.6227,1.4106,16.94,1,245.8342,1,0.1771,0.0245,0.3607,0.0,0.0575,0.0939,0.2862,0.0,1,-10.8999996185303,0.280000001192093,1
01487000,2.44107610507103,2.44234584556781,2,3187,USGS,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",38.7283333,-75.5618611,195.2841,,0,0,16.3,0.4685,1.3934,69.037,1,153.2648,1,0.0757,0.0033,0.2586,0.0001,0.0791,0.0118,0.5714,0.0,1,-13.0,0.219999998807907,1
01491000,2.91088008888183,2.50202364891675,1,3193,USGS,"CHOPTANK RIVER NEAR GREENSBORO, MD",38.99719444,-75.7858056,292.6672,,0,0,20.3,0.594,1.316,81.353,1,123.547,1,0.0986,0.0038,0.3283,0.0011,0.0622,0.0089,0.497,0.0,1,-12.4381080060392,0.236054053499892,1
01510000,4.09120855614973,3.904,0,3278,USGS,OTSELIC RIVER AT CINCINNATUS NY,42.5411111,-75.8997222,380.7264,,0,0,490.4,6.3422,1.6636,116.369,1,166.735,1,0.6546,0.0051,0.0338,0.0019,0.0279,0.0321,0.2445,0.0,1,-16.1169291331073,0.12090550923324,1
01518862,3.23809523809524,2.9604205318491,1,3291,USGS,"Cowanesque River at Westfield, PA",41.92312576,-77.5319298,234.6518,,0,0,604.4,8.0794,1.5456,84.692,1,120.6524,1,0.534,0.0014,0.0039,0.0023,0.0346,0.0299,0.3938,0.0,1,-15.7124998844587,0.16240384365217,1
01532000,2.24490119831759,2.24553606856599,2,3304,USGS,"Towanda Creek near Monroeton, PA",41.7070195,-76.4846654,556.8447,,0,0,494.0,6.361,1.4078,118.848,1,95.2591,1,0.6288,0.0086,0.0265,0.0039,0.0332,0.026,0.273,0.0,1,-15.0499999234965,0.182898352198958,1
01539000,2.8686612173637,2.46742322037933,1,3314,USGS,"Fishing Creek near Bloomsburg, PA",41.07814118,-76.4310555,709.6532,,0,0,410.3,6.8122,1.5781,150.382,1,148.7727,1,0.637,0.0022,0.0213,0.0031,0.0453,0.0143,0.2768,0.0,1,-15.5491246415437,0.165120348807106,1
01542810,3.92683295540438,3.64625850340136,0,3323,USGS,"Waldy Run near Emporium, PA",41.57895225,-78.2925121,13.5715,,0,0,580.0,11.2147,1.4262,18.827,1,192.5199,1,0.9163,0.0062,0.0045,0.0,0.0048,0.0597,0.0085,0.0,1,-14.882352772881,0.199411763864405,1
01543000,3.25053567177208,3.05118641377668,1,3324,USGS,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",41.4133959,-78.1969524,704.4733,,0,0,545.1,11.0518,1.6162,153.902,1,168.0266,1,0.8893,0.0078,0.0102,0.0003,0.0172,0.0476,0.0275,0.0,1,-14.6123375232086,0.206287879472623,1
01543500,3.2670422982303,3.12038727085152,1,3325,USGS,"Sinnemahoning Creek at Sinnemahoning, PA",41.31728467,-78.1030596,1774.133,,0,0,536.0,9.7185,1.6134,244.234,1,175.7887,1,0.8911,0.0117,0.0112,0.0007,0.0158,0.0419,0.0276,0.0,1,-14.3987067691211,0.212995691305219,1
01544500,2.98547734306801,2.64201253868741,1,3326,USGS,"Kettle Creek at Cross Fork, PA",41.4758994,-77.8258251,352.2366,,0,0,592.7,11.2713,1.3426,90.68,1,174.9136,1,0.8643,0.0051,0.003,0.0,0.0091,0.054,0.0645,0.0,1,-15.1894621859315,0.1891612882095,1
01545600,2.87131720157943,2.50035435861091,1,3327,USGS,"Young Womans Creek near Renovo, PA",41.38951168,-77.6908191,119.6569,,0,0,569.1,9.8394,1.4621,57.237,1,195.7488,1,0.9531,0.0005,0.0027,0.0,0.0036,0.0396,0.0005,0.0,1,-14.1235292970745,0.221895427680483,1
01547700,2.27018136172791,2.2708739124789,2,3332,USGS,"Marsh Creek at Blanchard, PA",41.05950916,-77.6058264,114.2179,,0,0,402.7,9.8837,1.5872,60.937,1,108.2312,1,0.8386,0.0001,0.0001,0.0,0.0493,0.0,0.1118,0.0,1,-15.215231661765,0.182251654565334,1
01548500,2.9683358463614,2.62645821760178,1,3340,USGS,"Pine Creek at Cedar Run, PA",41.52173586,-77.4474798,1564.345,,0,0,582.5,9.2089,1.676,237.17,1,152.7338,1,0.8088,0.0055,0.0115,0.0015,0.0213,0.0418,0.1096,0.0,1,-14.9101518791876,0.197013241109631,1
01549500,3.04801206253472,2.69121498293786,1,3342,USGS,"Blockhouse Creek near English Center, PA",41.47368336,-77.230809,97.6421,,0,0,545.9,9.7153,1.6584,58.622,1,193.9075,1,0.7286,0.0004,0.0049,0.0003,0.0498,0.018,0.198,0.0,1,-15.0299210811225,0.195039368520571,1
01550000,3.0680104753591,2.75787635901913,1,3345,USGS,"Lycoming Creek near Trout Run, PA",41.41840957,-77.03274598,448.0657,,0,0,533.8,8.8418,1.3951,106.687,1,162.0552,1,0.7999,0.007,0.014,0.0013,0.0207,0.0346,0.1225,0.0,1,-14.7370747189943,0.198469388621802,1
01552000,2.93058463520696,2.5330971170881,1,3346,USGS,"Loyalsock Creek at Loyalsockville, PA",41.32507836,-76.91246379,1126.6392,,0,0,517.7,7.0338,1.7003,204.999,1,187.3489,1,0.788,0.0072,0.0314,0.0033,0.026,0.0341,0.1099,0.0,1,-14.6243571267238,0.202902572247148,1
01552500,2.84771049916673,2.40425363066423,1,3347,USGS,"Muncy Creek near Sonestown, PA",41.35702418,-76.5346708,61.6414,,0,0,570.6,8.708,1.5531,43.374,1,273.1219,1,0.7566,0.001,0.0084,0.0016,0.0256,0.1196,0.0872,0.0,1,-15.0632909581631,0.194050631191157,1
01557500,3.27370843583843,3.08324736132053,1,3361,USGS,"Bald Eagle Creek at Tyrone, PA",40.6836733,-78.23362439,114.2179,,0,0,500.6,8.0298,1.2782,49.349,1,135.5619,1,0.8751,0.0072,0.0,0.0001,0.0755,0.0013,0.0407,0.0,1,-15.3530611699941,0.158843536538129,1
01568000,2.99341322117292,2.59820649154829,1,3378,USGS,"Sherman Creek at Shermans Dale, PA",40.32341928,-77.1688703,536.1249,,0,0,312.1,7.4013,1.8849,157.029,1,37.9457,1,0.696,0.001,0.0006,0.004,0.0556,0.0012,0.2417,0.0,1,-15.5606676912792,0.104020317108066,1
01580000,2.9680184112372,2.52741845885247,1,3432,USGS,"DEER CREEK AT ROCKS, MD",39.6299722,-76.4033056,244.4937,,0,0,199.7,3.2316,1.4827,83.656,1,113.3751,1,0.3424,0.0019,0.0053,0.0004,0.1107,0.0162,0.5232,0.0,1,-14.1000003814697,0.009999999776483,1
01583500,1.94270296008253,1.94333783033093,2,3451,USGS,"WESTERN RUN AT WESTERN RUN, MD",39.51077778,-76.6765,154.8805,,0,0,172.0,3.2812,1.3384,60.347,1,98.3756,1,0.371,0.0011,0.0037,0.0002,0.0951,0.0146,0.5142,0.0,1,-13.6651744747636,0.019452735883605,1
01586610,3.14840268861868,2.93875084963371,1,3471,USGS,"MORGAN RUN NEAR LOUISVILLE, MD",39.45188889,-76.9553056,72.5193,,0,0,221.1,3.0621,1.3661,42.039,1,118.4858,1,0.3374,0.0006,0.0161,0.0,0.1259,0.004,0.516,0.0,1,-14.0652177644813,0.011739130293869,1
01591400,3.09062689790134,2.72946892502868,1,3501,USGS,"CATTAIL CREEK NEAR GLENWOOD, MD",39.2559722,-77.0510556,59.3104,,0,0,171.0,2.0028,1.1589,32.157,1,140.8914,1,0.235,0.0008,0.0294,0.0017,0.133,0.0065,0.5935,0.0,1,-14.1000003814697,0.009999999776483,1
01594950,3.47640067911715,3.50424448217318,1,3236,USGS,"MCMILLAN F NEAR FORT PENDLETON, MD",39.27669444,-79.3903056,5.9569,,0,0,851.6,6.1509,1.2771,11.216,1,105.7109,1,0.8043,0.0392,0.0,0.0,0.0222,0.0,0.1343,0.0,1,-16.2833333015442,0.131666664034128,1
01596500,3.8644552019681,3.50575351162606,0,3240,USGS,"SAVAGE RIVER NEAR BARTON, MD",39.57005556,-79.1019444,127.1678,,0,0,761.7,8.981,1.5455,62.566,1,215.7932,1,0.8257,0.0065,0.0006,0.0017,0.0424,0.0006,0.1225,0.0,1,-15.2562499165535,0.17593749971129,1
01606500,2.01261854688306,2.01325344232372,2,3250,USGS,"SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV",38.99122107,-79.17587059,1686.0739,,0,0,844.8,12.876,1.7689,263.203,1,79.4779,1,0.8162,0.0024,0.0,0.0022,0.0374,0.0003,0.1415,0.0,1,-14.2574336700367,0.168835227769292,1
01613050,2.92762277360239,2.52198085040667,1,3266,USGS,"Tonoloway Creek near Needmore, PA",39.89842119,-78.132229,27.7127,,0,0,381.6,7.9307,1.1783,22.32,1,104.266,1,0.743,0.0,0.0,0.0,0.049,0.0,0.2079,0.0,1,-15.2722220420837,0.186111108710368,1
01632900,2.13488306697286,2.13600787364672,2,3544,USGS,"SMITH CREEK NEAR NEW MARKET, VA",38.69345016,-78.6427935,242.4217,,0,0,423.3,5.2272,1.5606,88.484,1,302.1422,1,0.4445,0.0002,0.0,0.0003,0.0902,0.0003,0.4645,0.0,1,-12.9122112796645,0.114620461174757,1
01634500,2.17093881437981,2.1715736846282,2,3548,USGS,"CEDAR CREEK NEAR WINCHESTER, VA",39.0812176,-78.3294486,264.1775,,0,0,424.5,8.0068,1.6417,96.555,1,105.4542,1,0.8695,0.0044,0.0001,0.0007,0.0383,0.0028,0.0842,0.0,1,-15.2647760476639,0.173671641667832,1
01638480,2.786906067779,2.25298770278852,1,3562,USGS,"CATOCTIN CREEK AT TAYLORSTOWN, VA",39.25510206,-77.5763778,231.8028,,0,0,172.5,3.0609,1.2943,71.273,1,88.2079,1,0.2859,0.0004,0.0071,0.002,0.1029,0.0004,0.6014,0.0,1,-13.8331061223261,0.024129693246996,1
01639500,2.10776922466471,2.1084040949131,2,3567,USGS,"BIG PIPE CREEK AT BRUCEVILLE, MD",39.6123611,-77.2374444,264.1775,,0,0,198.6,2.9956,1.3989,82.215,1,218.1424,1,0.2517,0.0007,0.018,0.0002,0.0864,0.0103,0.6326,0.0,1,-14.0803573358627,0.071517857251733,1
01658500,2.95084354897439,2.43783630699519,1,3633,USGS,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",38.5873427,-77.4285958,19.7356,,0,0,117.3,1.7526,1.2381,19.712,1,126.1449,1,0.7449,0.0171,0.1064,0.0,0.0516,0.0711,0.0089,0.0,1,-13.4333335558573,0.118333337673297,1
01666500,2.8321561780811,2.36108245377351,1,3656,USGS,"ROBINSON RIVER NEAR LOCUST DALE, VA",38.32513047,-78.0955557,463.6056,,0,0,271.4,5.8275,1.5274,119.285,1,113.5633,1,0.5898,0.0037,0.0024,0.0022,0.0668,0.0027,0.3323,0.0,1,-14.2746553897858,0.064344827991364,1
01667500,2.23379096897072,2.23442583921911,2,3657,USGS,"RAPIDAN RIVER NEAR CULPEPER, VA",38.35040774,-77.9749972,1212.1084,,0,0,268.1,5.5556,1.4715,185.645,1,111.2126,1,0.5518,0.0056,0.0031,0.0031,0.0658,0.0039,0.3668,0.0,1,-14.1220677712645,0.075129225498313,1
01669000,2.99527764207784,2.67415730337079,1,3662,USGS,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",37.8770819,-76.900521,72.2603,,0,0,43.8,1.3524,1.3407,41.344,1,11.3158,1,0.5143,0.0257,0.0799,0.0021,0.0318,0.1138,0.2325,0.0,1,-13.0,0.219999998807907,1
01669520,2.16610517064596,2.1672769884283,2,3664,USGS,"DRAGON SWAMP AT MASCOT, VA",37.6337529,-76.6963468,282.3073,,0,0,38.1,0.9518,1.668,101.017,1,101.29,1,0.4898,0.037,0.1308,0.0011,0.036,0.1245,0.1808,0.0,1,-12.3760232758104,0.237222221859714,1
02011400,2.96974571552311,2.59308296727093,1,3679,USGS,"JACKSON RIVER NEAR BACOVA, VA",38.04234707,-79.8814439,406.6261,,0,0,818.8,10.1441,1.7973,131.63,1,240.2095,1,0.8052,0.003,0.0,0.0001,0.0471,0.0001,0.1444,0.0,1,-14.8117877814062,0.186679766343244,1
02011460,2.9982159335589,2.59120270685943,1,3680,USGS,"BACK CREEK NEAR SUNRISE, VA",38.24540129,-79.76866328,157.7295,,0,0,948.0,13.6924,1.6452,74.581,1,128.6707,1,0.8511,0.001,0.0023,0.0003,0.0334,0.0002,0.1117,0.0,1,-15.6585491358307,0.161243521603587,1
